Start_Time(s)	End_Time(s)	Annotation
1.82	4.44	T
4.85	4.97	T
7.93	8.52	T
9.84	11.94	T
14.46	17.96	T
18.75	18.87	T
20.40	20.52	T
22.95	24.96	T
25.43	27.19	T
27.79	29.65	T
29.75	31.31	T
31.45	35.17	T
35.47	40.47	T
40.50	42.96	T
43.51	44.86	T
50.44	51.45	T
52.51	55.65	T
56.39	58.75	T
59.81	61.65	T
62.27	66.85	T
67.33	68.07	T
68.31	72.65	T
72.74	73.52	T
74.21	75.69	T
76.47	79.02	T
79.46	79.58	T
80.67	80.79	T
81.05	82.34	T
83.16	83.28	T
92.42	97.95	T
98.13	99.78	T
100.12	100.24	T
100.83	100.95	T
101.80	101.92	T
103.82	103.94	T
105.72	106.32	T
107.62	109.02	T
111.81	112.78	T
113.11	113.77	T
116.27	117.10	T
119.38	120.00	T
122.92	123.53	T
125.58	126.81	T
127.75	127.87	T
130.54	130.66	T
136.07	136.75	T
141.26	141.87	T
144.11	144.72	T
148.93	149.55	T
151.52	152.13	T
153.64	156.78	T
157.66	162.69	T
163.16	169.72	T
170.04	174.15	T
174.93	175.74	T
176.66	177.52	T
179.94	180.83	T
181.22	183.36	T
185.88	186.00	T
186.16	186.96	T
187.05	188.52	T
189.15	193.71	T
194.99	195.11	T
195.94	196.74	T
196.83	197.44	T
197.86	198.75	T
199.19	200.89	T
201.24	204.12	T
204.61	205.34	T
205.36	207.65	T
208.11	209.40	T
210.30	210.42	T
211.38	213.35	T
214.32	214.44	T
214.97	216.65	T
216.74	218.44	T
218.93	221.26	T
222.38	222.50	T
223.69	225.35	T
228.86	229.57	T
230.50	231.15	T
231.50	233.42	T
236.10	236.81	T
238.02	239.08	T
240.75	240.86	T
242.18	242.96	T
243.64	244.87	T
245.27	246.47	T
246.82	250.05	T
250.79	252.25	T
253.42	253.54	T
254.73	254.85	T
258.72	259.36	T
266.81	267.43	T
272.71	272.83	T
276.46	277.04	T
278.18	278.75	T
279.41	280.10	T
283.99	284.59	T
286.80	287.42	T
290.55	291.13	T
294.28	298.54	T
298.68	299.92	T
300.29	302.82	T
303.08	307.23	T
309.39	310.01	T
311.03	312.27	T
313.01	316.04	T
317.12	317.23	T
317.81	317.93	T
318.34	320.58	T
320.98	322.10	T
322.54	322.66	T
323.08	324.72	T
327.77	328.41	T
329.68	330.73	T
331.07	333.62	T
334.59	334.71	T
335.49	335.61	T
336.59	337.28	T
337.85	338.74	T
339.28	340.68	T
341.00	341.12	T
341.50	341.62	T
342.75	342.87	T
343.62	344.65	T
345.19	346.69	T
347.22	351.56	T
353.06	353.18	T
353.56	358.20	T
360.13	360.25	T
361.18	361.30	T
361.34	362.87	T
363.18	368.86	T
369.41	369.53	T
369.55	370.88	T
371.28	371.40	T
372.27	374.22	T
375.46	375.58	T
380.68	382.08	T
382.09	384.14	T
384.31	386.11	T
386.29	386.95	T
387.08	391.16	T
391.26	392.33	T
392.48	394.08	T
394.92	395.04	T
396.38	397.42	T
400.30	401.25	T
412.78	413.42	T
415.89	416.52	T
420.54	421.17	T
424.84	426.00	T
426.17	429.42	T
429.62	430.50	T
431.02	431.14	T
431.92	432.85	T
433.81	434.93	T
435.57	435.69	T
436.28	438.73	T
444.41	445.03	T
448.43	449.05	T
454.28	454.90	T
456.67	457.26	T
461.17	461.73	T
465.13	465.74	T
469.85	470.43	T
476.22	477.06	T
481.54	482.13	T
484.62	485.87	T
486.73	487.38	T
490.82	491.41	T
495.44	496.07	T
497.62	498.66	T
505.77	505.89	T
509.35	511.72	T
512.91	515.43	T
516.11	519.01	T
519.67	520.50	T
522.44	523.53	T
523.98	525.31	T
525.67	528.53	T
528.91	530.16	T
531.14	531.26	T
531.71	532.33	T
534.20	534.32	T
537.89	538.51	T
541.73	542.34	T
551.21	551.33	T
553.66	554.28	T
556.66	556.78	T
561.15	561.74	T
563.21	563.80	T
